timestamp,product_type,compressive_strength,fineness,consistency,setting_time,temperature,humidity,gypsum_added,energy_savings,quality_improvement,sustainability_score,expected_improvement,rec_action,rec_target_value
2025-10-25 19:44:33.953828,OPC-53,46.02423586076437,0.9683904352857476,0.2549687333396687,73.96407710213727,25.637969393743223,46.008838842450295,5.5,0.0,0.0,0.7,0.0,maintain_parameters,0.0
2025-10-25 18:44:33.953828,PSC,45.255784563250096,0.9683832922694235,0.2772071810313825,104.5298725977872,23.4705424276421,63.825354586036816,5.5,0.02,0.05,0.705,0.035,Reduce gypsum dosing,5.225
2025-10-25 17:44:33.953828,OPC-43,53.7555031430381,0.9166432242481184,0.321896027580412,88.89468211430336,28.304753492069725,56.37749780528878,5.5,0.0,0.0,0.7,0.0,maintain_parameters,0.0
2025-10-25 16:44:33.953828,PSC,55.75727088620424,0.9119943084748926,0.2792007156901724,93.84969271027244,22.622147629245788,48.08139613665505,4.558756890657153,0.0,0.0,0.7,0.0,maintain_parameters,0.0
2025-10-25 15:44:33.953828,OPC-43,52.440309456125135,0.966719451284174,0.2866582565936786,43.80175808216323,22.92300739158183,73.86346722192019,2.5,0.0,0.15,0.715,0.075,Increase gypsum dosing,2.625
2025-10-25 14:44:33.953828,OPC-53,57.977624229070784,0.9280908260080188,0.3184735915696464,56.18782468383061,29.63243563721343,54.43151413667948,2.5,0.0,0.15,0.715,0.075,Increase gypsum dosing,2.625
2025-10-25 13:44:33.953828,PSC,50.85244549598718,0.9617333553983805,0.302723521796668,74.8625971782445,20.085476366123604,62.51500157437442,2.5,0.0,0.0,0.7,0.0,maintain_parameters,0.0
2025-10-25 12:44:33.953828,OPC-53,54.81475556124096,0.90318182209535,0.2638707903527466,56.11851715975706,29.265708201109486,49.82847884618057,2.5,0.0,0.15,0.715,0.075,Increase gypsum dosing,2.625
2025-10-25 11:44:33.953828,PSC,43.21408839721562,0.9384014988086372,0.324394901896532,68.34631600739253,24.407994564478543,59.455017127995184,2.5,0.0,0.1,0.71,0.05,Adjust gypsum for low strength,2.55
2025-10-25 10:44:33.953828,OPC-53,53.88227884425668,0.9399729636737238,0.258258377731289,96.88737377078864,24.89760877166012,66.97955188583198,2.5,0.0,0.0,0.7,0.0,maintain_parameters,0.0
2025-10-25 09:44:33.953828,PPC,54.03699210148846,0.9547364507675464,0.2982337029515313,93.92280321222236,24.01398415941336,65.46846505801355,5.5,0.0,0.0,0.7,0.0,maintain_parameters,0.0
2025-10-25 08:44:33.953828,PPC,40.08787261023813,0.9527407081038316,0.3400821258551362,100.4697452056278,21.207517641727748,71.22823917108406,5.5,0.0,0.1,0.71,0.05,Adjust gypsum for low strength,5.61
